Número de declaraciones,Renta bruta media,Renta disponible media,Rentas del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota  resultante de autoliquidación,Renta disponible,Municipio,Id Municipio
75867,23.037,19.415,1456012595,71236502,1747748989,71001490,203864325,1472973679,Jerez de la Frontera,11020
139685,24.956,20.59,2872080318,95447256,3486036496,131696823,478299401,2876132145,Córdoba,14021
107278,27.895,22.856,2348548998,127809334,2992558477,98352388,442317860,2451956604,Granada,18087
219677,25.18,20.98,4392190510,257940065,5531461016,208101984,714702889,4608791911,Málaga,29067
288039,28.019,22.822,6557221055,290595019,8070490996,292398468,1204652257,6573711090,Sevilla,41091
362307,27.294,22.358,8161132827,298238043,9888942023,383888444,1404736690,8100578959,Zaragoza,50297
137440,26.261,21.83,2965968434,160740720,3609304098,133538005,475550817,3000317718,Gijón,33024
116978,28.581,23.377,2740111849,131896231,3343338523,126454908,482421665,2734587379,Oviedo,33044
183485,28.973,23.568,3972910715,132418940,5316085246,189437312,802397269,4324364117,Palma de Mallorca,07040
151711,27.694,22.682,3308234034,117423610,4201481710,149391083,611148054,3441145211,Palmas de Gran Canaria Las,35016
84309,27.164,22.339,1817677309,59970394,2290134567,80457952,326358947,1883367236,Santa Cruz de Tenerife,38038
85228,28.233,23.199,1933974315,73275839,2406268494,81046593,348119994,1977183255,Santander,39075
103140,26.415,21.902,2308231412,67572101,2724474088,106773599,358767799,2259014478,Burgos,09059
166690,26.792,22.221,3721461117,144311340,4465999009,160021415,602118932,3703990093,Valladolid,47186
93744,25.97,21.495,2006461288,93444587,2434553495,98946088,320602099,2015061882,Badalona,08015
825322,36.05,28.514,21829363261,898912520,29752870873,932987451,5288012713,23533074379,Barcelona,08019
108760,24.045,20.164,2230486070,113079293,2615092444,105858669,316281491,2193010644,Hospitalet de Llobregat L,08101
93946,27.691,22.654,2132307645,111091032,2601489551,106762497,366579042,2128206926,Sabadell,08187
99322,26.474,21.751,2199564617,110296872,2629409124,113726246,355420258,2160348727,Terrassa,08279
131428,28.055,22.803,3018209634,104850923,3687155708,129548536,560820322,2996946847,Coruña A,15030
141190,25.871,21.343,3032565731,107450437,3652705353,140669084,498683293,3013445966,Vigo,36057
89788,26.741,22.098,2098093828,78668365,2400980699,101193411,315706475,1984173073,Alcalá de Henares,28005
52483,50.55,38.106,1952973799,62123831,2653028401,68240282,584957119,1999901635,Alcobendas,28006
85934,26.688,22.07,1986298836,64552729,2293432479,98837671,298093796,1896549280,Getafe,28065
1647539,37.242,29.4,47382825507,1754806296,61358457581,1977759774,10946011877,48436969456,Madrid,28079
94034,23.596,19.853,1955741557,70001574,2218781502,96582103,255431675,1866858712,Móstoles,28092
43256,72.993,53.428,2192617585,75166853,3157402856,65915165,780487765,2311098776,Pozuelo de Alarcón,28115
47809,50.286,38.258,1887397371,77416388,2404146386,76780520,498381562,1829077671,Las Rozas,28127
85607,24.651,20.548,1795821663,69097851,2110278842,83786802,267502455,1759032438,Cartagena,30016
184990,25.724,21.172,3885557649,154651180,4758594457,187185190,654865824,3916674047,Murcia,30030
133309,26.389,21.613,2859315251,93156447,3517847852,129661318,507133669,2881212058,Alicante/Alacant,03014
88687,20.099,16.977,1443196799,43036609,1782519949,79516459,197384497,1505657972,Elche/Elx,03065
366893,29.064,23.532,8268891708,346228969,10663200252,367402856,1662301554,8633837074,Valencia,46250
